SELECT	<KW , 19>
from_	<IDN , from_>
.    < OP , 0>
_1_	<IDN , _1_>
,    <SE, ,>
SUM	<KW , 24>
(    <SE, (>
from_	<IDN , from_>
.    < OP , 0>
_2_	<IDN , _2_>
)    <SE, )>
FROM	<KW , 17>
from_	<IDN , from_>
JOIN	<KW , 10>
_1A	<IDN , _1A>
ON	<KW , 31>
from_	<IDN , from_>
.    < OP , 0>
_1_=_1A	<IDN , _1_=_1A>
.    < OP , 0>
cr7	<IDN , cr7>
WHERE	<KW , 13>
from_	<IDN , from_>
.    < OP , 0>
_2_	<IDN , _2_>
>    < OP , 9>
1	<INT , 1>
AND	<KW , 2>
from_	<IDN , from_>
.    < OP , 0>
_3_	<IDN , _3_>
<    < OP , 8>
3.1415926	<FLOAT , 3.1415926>
OR	<KW , 0>
1.25	<FLOAT , 1.25>
IS	<KW , 35>
NOT	<KW , 36>
NULL	<KW , 37>
GROUP	<IDN , GROUP>
BY	<IDN , BY>
from_	<IDN , from_>
.    < OP , 0>
_2_	<IDN , _2_>
HAVING	<KW , 28>
from_	<IDN , from_>
.    < OP , 0>
_3_=	<IDN , _3_=>
"ORDER BY #><=="	<STRING , "ORDER BY #><==">
#
